DEPTH,CALI_P,COALF,DENS_P,DTC_P,GR_P,NEUT_P,NPHIHC,PEF_P,PERM,PERM_TRFM,PHIE,PHIT,RHOBHC,RT_P,SWE,SWT,VCLB,VCLD,VCLW,VDOLO,VGAS,VLIME,VMIN1,VMIN2,VOIL,VSAND,VSH_DN,VSHALE,VSILT,VWATER
805.5864,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
805.7388,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
805.8912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
806.0436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
806.196,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
806.3484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
806.5008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
806.6532,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
806.8056,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
806.958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
807.1104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
807.2628,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
807.4152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
807.5676,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
807.72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
807.8724,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
808.0248,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
